id,ime,mesto
1,Harvey Group,Salinggara
2,Dooley-Mann,Bai’e
3,"Spencer, Deckow and Spinka",Catache
4,Moen LLC,Ráječko
5,"Heidenreich, Fadel and Streich",Yurovka
6,Balistreri LLC,Iballë
7,Hills-Schmitt,Fukayachō
8,Murray and Sons,Las Palomas
9,"Kreiger, Hegmann and Muller",North Side
10,Schultz Inc,Sovetskaya
11,Rempel-Bode,La Paz de Oriente
12,Homenick-Dickens,Spodnja Hajdina
13,Lockman Group,Dadong
14,Sanford and Sons,Markaz-e Ḩukūmat-e Darwēshān
15,Satterfield LLC,Krajan Keboromo
16,"McLaughlin, Renner and Hirthe",Kertapura
17,Boyle Inc,Ol’ginskaya
18,Witting Inc,Köpingsvik
19,Mertz LLC,Banaybanay
20,Nicolas and Sons,Sypniewo
